"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","4. Visual Regression Testing","1","0","7. Header and footer elements","0"
"0","","0","4. Visual Regression Testing","1","0","8. Button hover states","0"
"0","","1","3. Accessibility Compliance","0","0","3. Shopping cart page meets WCAG standards","0"
"0","","1","","13","0","","0"
"0","","0","4. Visual Regression Testing","1","0","1. Login page visual appearance","0"
"0","","0","4. Visual Regression Testing","1","0","3. Product card component appearance","0"
"0","","0","4. Visual Regression Testing","1","0","6. Products page on tablet viewport","0"
"0","","1","3. Accessibility Compliance","0","0","1. Login page meets WCAG standards","0"
"0","","0","3. Accessibility Compliance","1","0","5. All form fields have proper labels","0"
"0","","1","3. Accessibility Compliance","0","0","4. Checkout page meets WCAG standards","0"
"0","","0","2. Complete Shopping Flow","1","0","1. Add single product to cart","0"
"0","","0","3. Accessibility Compliance","1","0","6. Keyboard navigation works correctly","0"
"0","","1","3. Accessibility Compliance","0","0","2. Products page meets WCAG standards","0"
"0","","0","2. Complete Shopping Flow","1","0","5. Complete shopping journey","0"
"0","","0","4. Visual Regression Testing","1","0","5. Login page on mobile viewport","0"
"0","","0","2. Complete Shopping Flow","1","0","4. Remove product from cart","0"
"0","","0","4. Visual Regression Testing","1","0","4. Shopping cart visual appearance","0"
"0","","0","1. Authentication","1","0","1. Successful login with valid credentials","0"
"0","","0","1. Authentication","1","0","2. Login with invalid credentials","0"
"0","","0","2. Complete Shopping Flow","1","0","2. Add multiple products to cart","0"
"0","","0","2. Complete Shopping Flow","1","0","3. View cart with added products","0"
"0","","0","4. Visual Regression Testing","1","0","2. Products page visual appearance","0"
