"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","5. All form fields have proper labels","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"","898","2. Add multiple products to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","845","3. Product card component appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify all required fields are visible on the form
","2858","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","1344","2. Products page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link displays correct text
","3203","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"","1315","1. Login page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","932","3. View cart with added products","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","1173","1. Successful login with valid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","799","2. Login with invalid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","1403","4. Shopping cart visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link displays correct text
","5210","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","failed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"","1070","5. Complete shopping journey","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify Get Started link navigates to Installation page
","1260","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","GetStartedLink"
"Verify user can fill form fields with valid data
","2444","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyUserCanFillFormFields"
"","1702","1. Login page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"Verify Get Started link navigates to Installation page
","1306","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","GetStartedLink"
"Verify that required field validation messages are displayed when form is submitted empty
","2778","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyRequiredFieldValidationMessages"
"Verify Get in touch link is visible on homepage
","2618","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"Verify all required fields are visible on the form
","3771","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","1761","5. Login page on mobile viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","870","1. Add single product to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify that required field validation messages are displayed when form is submitted empty
","4131","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyRequiredFieldValidationMessages"
"Verify user can fill form fields with valid data
","3348","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyUserCanFillFormFields"
"","1277","7. Header and footer elements","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","598","6. Keyboard navigation works correctly","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"Verify homepage has Playwright in title and Get Started link points to intro page
","738","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
"","2158","2. Products page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","1906","3. Shopping cart page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","2010","4. Checkout page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","1849","6. Products page on tablet viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link is visible on homepage
","4136","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"","1760","8. Button hover states","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","905","4. Remove product from cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify homepage has Playwright in title and Get Started link points to intro page
","760","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
