"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1934","3. Shopping cart page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","2196","2. Products page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"Verify homepage has Playwright in title and Get Started link points to intro page
","783","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
"Verify Get Started link navigates to Installation page
","1248","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","GetStartedLink"
"Verify all required fields are visible on the form
","2888","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","838","2. Login with invalid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","1859","6. Products page on tablet viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link is visible on homepage
","4599","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"","621","6. Keyboard navigation works correctly","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"","920","7. Header and footer elements","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","2709","8. Button hover states","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify homepage has Playwright in title and Get Started link points to intro page
","755","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
"Verify Get in touch link displays correct text
","4118","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"","1790","5. Login page on mobile viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","1030","5. Complete shopping journey","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify Get Started link navigates to Installation page
","1274","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","GetStartedLink"
"","1704","1. Login page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","1972","4. Checkout page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"Verify all required fields are visible on the form
","2291","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","1386","2. Products page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link displays correct text
","6771","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","failed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"","987","1. Add single product to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","1056","1. Successful login with valid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","827","3. Product card component appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify that required field validation messages are displayed when form is submitted empty
","3710","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyRequiredFieldValidationMessages"
"","988","4. Remove product from cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify user can fill form fields with valid data
","4123","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyUserCanFillFormFields"
"","871","3. View cart with added products","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","1334","1. Login page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","678","5. All form fields have proper labels","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"Verify user can fill form fields with valid data
","2069","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyUserCanFillFormFields"
"","1320","4. Shopping cart visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify that required field validation messages are displayed when form is submitted empty
","2856","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyRequiredFieldValidationMessages"
"Verify Get in touch link is visible on homepage
","5997","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"","986","2. Add multiple products to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
