"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1918","3. Shopping cart page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"Verify Get in touch link displays correct text
","6088","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","failed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"","901","3. View cart with added products","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify Get Started link navigates to Installation page
","1179","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","GetStartedLink"
"","1239","1. Login page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","885","2. Login with invalid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","1929","4. Checkout page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","926","2. Add multiple products to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","1420","4. Shopping cart visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify homepage has Playwright in title and Get Started link points to intro page
","789","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests.PlaywrightDev","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
"","875","7. Header and footer elements","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","1375","2. Products page visual appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","637","6. Keyboard navigation works correctly","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"","816","1. Add single product to cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","818","3. Product card component appearance","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify user can fill form fields with valid data
","3175","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyUserCanFillFormFields"
"","1734","1. Login page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"","990","5. Complete shopping journey","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"Verify that required field validation messages are displayed when form is submitted empty
","2911","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyRequiredFieldValidationMessages"
"Verify user can fill form fields with valid data
","1912","VerifyUserCanFillFormFields","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyUserCanFillFormFields"
"Verify that required field validation messages are displayed when form is submitted empty
","3656","VerifyRequiredFieldValidationMessages","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyRequiredFieldValidationMessages"
"Verify Get Started link navigates to Installation page
","1211","GetStartedLink","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","GetStartedLink"
"","685","5. All form fields have proper labels","","2026-02-20","passed","2026-02-20","","3. Accessibility Compliance","",""
"Verify Get in touch link is visible on homepage
","2981","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"Verify all required fields are visible on the form
","3145","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests.Amdaris","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","918","4. Remove product from cart","","2026-02-20","passed","2026-02-20","","2. Complete Shopping Flow","",""
"","1809","8. Button hover states","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"","2143","2. Products page meets WCAG standards","","2026-02-20","failed","2026-02-20","","3. Accessibility Compliance","",""
"Verify Get in touch link is visible on homepage
","3455","VerifyGetInTouchLinkIsVisible","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchLinkIsVisible"
"","1069","1. Successful login with valid credentials","","2026-02-20","passed","2026-02-20","","1. Authentication","",""
"","1825","6. Products page on tablet viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify all required fields are visible on the form
","1998","VerifyAllRequiredFieldsAreVisible","VSProject","2026-02-20","passed","2026-02-20","ContactUsTest","VSProject.Tests","ContactUsTest","VerifyAllRequiredFieldsAreVisible"
"","1672","5. Login page on mobile viewport","","2026-02-20","passed","2026-02-20","","4. Visual Regression Testing","",""
"Verify Get in touch link displays correct text
","3858","VerifyGetInTouchTextIsDisplayed","VSProject","2026-02-20","passed","2026-02-20","AmadarisTests","VSProject.Tests.Amdaris","AmadarisTests","VerifyGetInTouchTextIsDisplayed"
"Verify homepage has Playwright in title and Get Started link points to intro page
","780","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage","VSProject","2026-02-20","passed","2026-02-20","PlaywrightDevTests","VSProject.Tests","PlaywrightDevTests","HomepageHasPlaywrightInTitleAndGetStartedLinkLinkingToTheIntroPage"
